"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"411","SEE","-2.21","1.44","0.64","1.55%","15500","270.50M","S&P 500","6.39B","Yes","2.50","4.72B","Yes","1.00","-","13.40","-","-","28.77","24.10","23.55","1.35","1.81","0.60","2.16%","Nov 06 BMO","1.72","13.31%","0.63","39.40%","-90.60%","344.30%","-9.30%","0.50%","0.74%","31.90%","0.30%","1.09%","99.60%","0.39%","11.60%","27.00%","7.80%","7.20%","-103.30%","18.30%","-2.37%","-11.91%","37.38%","30.22 - 47.13","1.21M","0.45","55.35","3.82%","4.84","153.68M","154.50M","47.00","403,853","0.86","1.08","0.33%","-9.47%","-0.50%","-4.17%","4.34%","16.89%","18.77%","41.38","41.51","1.59% 1.66%"
"412","SHW","40.83","1.55","4.52","0.81%","53368","1.16B","S&P 500","52.53B","Yes","2.20","17.71B","Yes","0.80","2.52","23.17","1.92","13.73","360.77","45.38","35.62","2.97","3.19","0.50","2.05%","Oct 22 BMO","12.35","14.22%","6.48","9.30%","18.30%","-5.30%","11.50%","2.20%","4.63%","43.00%","0.20%","-19.07%","80.00%","0.28%","8.30%","31.40%","6.60%","5.80%","31.40%","8.30%","20.43%","-1.07%","57.88%","355.28 - 567.00","502.31K","0.69","60.83","1.31%","2.15","82.57M","93.71M","551.45","255,430","9.82","1.25","0.07%","23.90%","3.26%","22.76%","0.33%","35.09%","42.46%","560.54","560.91","1.68% 1.69%"
"413","SIVB","106.90","195.39","-","-","3314","1.15B","S&P 500","10.64B","Yes","2.20","2.19B","Yes","-","0.13","10.46","0.13","1.92","1.05","9.50","10.78","4.85","1.06","-","0.89%","Oct 24 AMC","21.57","9.00%","5.07","31.00%","37.40%","82.80%","22.00%","21.70%","1.38%","-","0.30%","-9.52%","95.90%","1.41%","89.70%","0.00%","52.30%","1.90%","21.90%","25.00%","-8.31%","-31.42%","14.97%","177.70 - 297.93","537.41K","0.62","52.31","2.53%","2.42","51.32M","51.96M","251.68","243,270","7.04","2.18","-0.26%","-15.75%","-5.97%","-6.60%","6.44%","-30.46%","7.86%","204.84","204.31","2.94% 3.22%"
"414","SJM","70.74","0.43","3.52","3.25%","7400","533.30M","S&P 500","12.35B","Yes","3.40","7.71B","Yes","0.70","0.72","12.57","0.59","1.53","253.08","22.96","30.71","1.60","6.96","0.30","0.61%","Aug 27 BMO","4.72","3.30%","2.18","-3.50%","16.00%","-9.70%","6.90%","-6.50%","-0.38%","38.10%","0.90%","-0.46%","81.10%","0.51%","12.40%","72.20%","6.90%","3.20%","6.70%","5.30%","-3.80%","-15.74%","18.51%","91.32 - 128.43","817.55K","0.30","49.83","6.43%","8.58","109.10M","114.05M","107.64","179,802","1.66","0.43","-0.06%","-10.28%","-0.50%","-5.26%","1.19%","2.75%","15.83%","108.29","108.22","1.34% 1.42%"
"415","SLB","25.90","1.70","2.00","6.27%","100000","2.10B","S&P 500","44.14B","Yes","2.20","32.83B","Yes","1.40","0.48","17.01","0.47","1.23","18.80","21.20","53.89","1.34","1.41","1.00","-2.66%","Oct 18 BMO","1.50","15.04%","0.41","-21.40%","14.20%","249.10%","-6.70%","-0.40%","-4.89%","12.60%","0.10%","-5.40%","80.40%","1.21%","9.20%","132.10%","6.40%","3.00%","5.80%","4.90%","-18.23%","-47.26%","5.29%","30.65 - 61.19","11.81M","1.18","43.67","1.69%","1.97","1.38B","1.38B","45.95","10,210,491","1.13","1.53","1.19%","-30.00%","-16.15%","-17.62%","2.64%","-46.57%","-11.61%","31.89","32.27","3.49% 3.01%"
"416","SLG","67.35","1.80","3.40","4.20%","1058","231.90M","S&P 500","6.72B","Yes","2.60","1.24B","Yes","-","1.10","58.17","1.10","1.20","45.09","29.32","-","5.41","-","-","0.03%","Oct 16 AMC","2.76","-10.84%","0.33","31.90%","63.50%","205.50%","-2.20%","4.00%","0.71%","63.70%","0.40%","-3.90%","-","0.63%","31.30%","120.10%","18.70%","1.70%","4.10%","3.40%","-5.44%","-17.36%","6.88%","75.46 - 97.59","715.04K","0.89","52.13","3.44%","3.91","81.42M","82.97M","93.53","466,458","1.35","1.07","-0.40%","-6.98%","-0.84%","-0.61%","2.13%","-12.64%","2.39%","80.97","80.65","1.70% 1.61%"
"417","SNA","59.57","-","3.80","2.44%","12600","698.30M","S&P 500","8.59B","Yes","2.40","4.06B","Yes","2.50","0.34","12.04","0.29","2.61","-","12.61","22.17","2.12","1.74","1.70","1.69%","Oct 17 BMO","12.34","7.25%","2.95","15.00%","3.60%","23.80%","4.70%","-0.10%","3.06%","54.00%","1.00%","-10.23%","-","0.22%","23.90%","29.30%","17.20%","12.80%","21.90%","17.40%","-0.35%","-9.43%","16.49%","135.29 - 174.00","389.31K","0.93","56.69","13.76%","19.26","54.50M","55.20M","174.17","264,579","3.60","1.23","1.25%","-7.38%","0.30%","3.77%","1.64%","-9.28%","7.14%","155.66","157.60","2.85% 2.03%"
"418","SNPS","26.20","4.58","-","-","13245","621.00M","S&P 500","20.51B","Yes","1.60","3.30B","Yes","1.00","0.04","26.96","0.03","5.22","29.86","33.89","36.68","6.20","2.49","0.90","-1.88%","Nov 20 AMC","4.04","13.60%","1.13","17.60%","24.20%","304.10%","9.70%","9.40%","-1.08%","77.00%","0.30%","-32.72%","92.50%","0.31%","13.70%","0.00%","18.90%","10.10%","16.60%","13.80%","12.40%","-8.12%","70.27%","79.14 - 146.66","990.13K","0.91","46.66","1.14%","1.72","149.32M","149.86M","149.72","656,514","3.41","1.21","-1.52%","17.98%","0.24%","1.36%","-1.01%","53.33%","62.43%","136.83","134.75","1.99% 2.40%"
"419","SO","25.76","1.32","2.48","4.06%","29192","4.40B","S&P 500","64.11B","Yes","3.20","22.01B","Yes","0.80","1.64","19.34","1.48","2.37","46.36","14.47","-","2.91","10.59","0.60","-0.52%","Oct 30 BMO","4.22","1.37%","1.15","2.80%","662.70%","273.60%","6.60%","-9.40%","2.18%","87.50%","0.08%","-52.81%","60.10%","0.24%","35.40%","56.60%","20.10%","3.90%","17.20%","5.20%","13.03%","-1.88%","43.98%","42.50 - 62.36","4.76M","0.52","53.65","1.87%","4.10","1.04B","1.05B","58.98","1,826,056","0.69","0.16","0.21%","17.51%","0.43%","10.48%","-1.20%","37.18%","39.03%","61.06","61.19","1.17% 1.06%"
"420","SPG","9.32","1.55","8.40","5.64%","3300","2.31B","S&P 500","45.94B","Yes","2.10","5.72B","Yes","-","8.11","20.99","8.11","15.97","95.75","19.89","103.42","8.03","2.31","-","-0.48%","Oct 24 BMO","7.48","8.60%","1.70","16.60%","-9.30%","26.10%","4.50%","0.90%","-0.84%","82.30%","0.10%","-2.88%","99.00%","0.06%","53.30%","108.20%","40.40%","7.50%","73.20%","12.00%","-10.19%","-21.66%","3.26%","145.28 - 191.49","1.56M","0.63","50.47","3.58%","7.04","306.57M","308.71M","178.11","722,896","2.61","0.55","0.81%","-16.43%","-4.50%","-4.88%","1.10%","-14.52%","-11.42%","148.81","150.02","1.46% 1.68%"
"421","SPGI","2.08","-","2.28","0.90%","21200","1.97B","S&P 500","62.26B","Yes","2.20","6.36B","Yes","1.40","0.00","24.83","7.16","121.63","-","32.12","40.40","9.79","3.65","1.40","0.79%","Oct 29 BMO","7.88","8.80%","2.33","22.50%","23.30%","21.70%","5.90%","5.90%","-1.29%","73.10%","0.10%","-15.11%","86.40%","0.41%","46.00%","26.90%","31.00%","20.30%","332.40%","52.00%","12.34%","-7.04%","59.94%","156.68 - 269.57","1.30M","0.50","48.76","1.28%","2.43","246.00M","246.10M","274.75","480,560","5.13","1.05","-0.95%","16.48%","-0.66%","5.45%","0.81%","33.24%","48.88%","253.00","250.60","1.27% 1.95%"
"422","SRE","55.21","0.61","3.87","2.67%","16823","1.90B","S&P 500","40.05B","Yes","2.10","11.24B","Yes","0.30","1.70","20.49","1.40","2.63","238.40","21.17","-","3.56","1.78","0.30","0.92%","Nov 06 BMO","6.85","11.90%","1.44","-3.10%","142.60%","-23.30%","2.00%","1.70%","2.83%","98.10%","0.10%","-21.31%","97.30%","0.26%","29.90%","51.90%","17.20%","3.10%","13.00%","4.90%","11.82%","-1.11%","39.67%","104.88 - 148.14","1.44M","0.55","57.94","6.05%","11.52","274.21M","276.29M","153.00","578,329","1.87","0.43","1.06%","13.77%","3.40%","3.51%","-0.99%","25.22%","33.99%","144.96","146.49","1.01% 1.28%"
"423","STI","53.71","26.22","2.24","3.32%","22899","2.54B","S&P 500","29.99B","Yes","2.40","7.79B","Yes","-","0.85","12.18","0.85","1.26","2.58","12.05","-","3.85","4.63","-","1.58%","Oct 17 BMO","5.61","2.60%","1.41","18.50%","0.00%","45.90%","6.00%","14.90%","5.74%","-","0.10%","-21.03%","84.60%","0.02%","73.30%","34.90%","33.10%","1.20%","11.30%","13.90%","8.30%","-1.90%","48.20%","46.05 - 69.57","2.80M","0.51","60.90","2.51%","3.97","442.27M","443.81M","70.84","1,053,977","1.28","1.54","1.00%","6.43%","-1.42%","3.33%","2.12%","9.39%","33.96%","67.57","68.25","1.67% 1.63%"
"424","STT","57.91","258.78","2.08","3.48%","39483","2.06B","S&P 500","22.44B","Yes","2.50","3.92B","Yes","-","0.52","9.69","0.52","1.03","0.23","11.01","4.14","5.73","-","-","8.73%","Oct 18 BMO","5.42","-9.55%","1.40","7.40%","-24.80%","6.70%","6.00%","9.90%","14.17%","-","0.60%","-2.67%","94.50%","0.53%","65.90%","32.90%","53.50%","0.90%","9.90%","6.00%","2.08%","-22.93%","29.88%","48.62 - 81.94","2.81M","1.58","70.08","1.71%","2.25","371.08M","375.83M","62.98","3,243,688","1.66","1.51","5.78%","-14.67%","-1.29%","-0.63%","5.05%","-27.43%","-5.34%","59.70","63.15","2.45% 2.40%"
"425","STX","7.83","8.04","2.52","4.57%","40500","2.01B","S&P 500","15.23B","Yes","2.80","10.39B","Yes","2.00","1.97","10.97","1.97","7.05","6.86","7.74","34.15","1.47","1.00","1.50","3.41%","Nov 01 BMO","7.13","7.74%","0.98","9.30%","35.90%","20.80%","-5.40%","-16.40%","7.34%","28.20%","0.20%","-31.34%","90.50%","0.26%","14.30%","35.10%","19.40%","22.50%","105.50%","33.20%","16.85%","-3.65%","55.77%","35.38 - 57.20","2.85M","0.43","62.01","5.44%","5.02","262.44M","276.00M","49.50","886,757","1.34","1.62","-0.13%","9.27%","-2.77%","16.66%","4.31%","25.10%","42.99%","55.18","55.11","1.82% 2.52%"
"426","STZ","59.37","0.46","3.00","1.52%","9800","734.40M","S&P 500","37.51B","Yes","2.10","8.21B","Yes","1.60","1.14","21.36","1.07","3.32","431.18","68.31","42.02","4.57","11.32","1.00","-0.44%","Oct 03 BMO","2.89","6.03%","1.93","12.10%","-131.70%","79.30%","10.80%","-46.10%","-1.31%","49.70%","0.50%","-27.53%","85.00%","0.14%","28.70%","73.10%","9.40%","2.70%","6.50%","6.40%","4.92%","-13.20%","31.90%","150.37 - 228.49","1.08M","0.56","48.90","4.90%","6.90","151.47M","190.14M","226.95","436,286","4.20","0.72","0.53%","-0.76%","-4.84%","-2.12%","2.38%","-13.07%","22.68%","197.29","198.34","1.93% 2.07%"
"427","SWK","50.49","2.14","2.76","1.86%","60767","843.70M","S&P 500","21.58B","Yes","2.20","14.22B","Yes","0.90","0.60","15.95","0.52","2.95","69.44","26.47","34.25","1.52","3.66","0.40","5.87%","Oct 24 BMO","5.62","7.23%","2.03","10.10%","23.10%","-35.30%","5.10%","3.20%","7.93%","34.30%","0.20%","-28.81%","87.90%","0.31%","9.10%","58.60%","4.70%","3.20%","9.20%","8.80%","8.86%","-2.51%","41.18%","106.41 - 154.10","1.02M","0.44","62.65","1.76%","2.51","145.03M","145.03M","161.54","326,053","3.59","1.40","0.98%","2.08%","3.62%","3.64%","5.94%","16.14%","24.24%","148.77","150.23","2.30% 2.32%"
"428","SWKS","23.75","5.42","1.76","2.01%","9400","914.90M","S&P 500","15.11B","Yes","2.50","3.56B","Yes","5.60","0.00","13.89","0.00","3.69","16.16","16.94","32.50","4.25","1.13","4.10","8.31%","Nov 06 AMC","5.17","15.00%","1.50","34.40%","-46.40%","17.20%","16.60%","-14.20%","11.13%","47.80%","0.30%","-18.16%","83.60%","0.44%","29.70%","28.80%","26.10%","19.40%","22.80%","28.00%","11.29%","-6.83%","46.29%","60.12 - 94.39","1.88M","0.87","66.43","5.04%","4.60","170.99M","172.60M","86.52","1,193,333","2.25","1.02","0.45%","-2.72%","9.11%","7.66%","3.13%","-1.30%","30.63%","87.55","87.94","2.09% 2.53%"
"429","SYF","21.55","17.20","0.88","2.59%","16500","3.41B","S&P 500","23.23B","Yes","1.90","19.09B","Yes","-","1.44","7.37","1.44","1.58","1.98","7.08","2.61","1.22","0.59","-","4.03%","Oct 18 BMO","4.80","12.00%","1.12","9.40%","35.40%","42.60%","9.70%","13.50%","3.87%","-","0.20%","-9.39%","98.10%","0.19%","62.60%","17.60%","17.90%","3.20%","23.50%","25.10%","5.01%","-6.47%","58.35%","21.77 - 36.87","4.48M","1.44","61.14","1.81%","2.68","661.39M","683.60M","40.26","4,721,648","0.72","1.17","1.47%","1.92%","-0.29%","-3.05%","4.59%","12.55%","44.84%","33.98","34.48","1.88% 2.07%"
"430","SYK","31.94","4.97","2.08","0.96%","36000","1.99B","S&P 500","79.69B","Yes","1.90","14.20B","Yes","2.10","0.71","23.93","0.67","6.75","43.33","41.12","68.17","5.61","3.96","1.30","0.47%","Oct 29 AMC","5.24","10.39%","1.90","14.80%","6.40%","7.60%","8.60%","9.90%","-0.54%","65.80%","0.10%","-35.50%","76.10%","0.41%","17.00%","20.90%","25.00%","14.00%","31.40%","10.10%","9.54%","-3.56%","48.88%","144.75 - 223.45","1.04M","0.66","50.75","1.39%","4.60","344.78M","369.69M","227.31","501,609","3.71","0.82","-0.03%","19.58%","-2.23%","3.62%","2.02%","23.11%","37.52%","215.56","215.51","1.19% 1.66%"
"431","SYMC","8.48","2.75","0.30","1.28%","11900","50.00M","S&P 500","14.47B","Yes","3.00","4.82B","Yes","0.70","0.85","12.62","0.76","2.77","8.54","282.89","13.53","3.00","29.78","0.70","-1.34%","Nov 07 AMC","0.08","9.50%","0.42","-15.40%","138.90%","-108.90%","-6.70%","7.90%","-1.49%","77.70%","0.60%","197.62%","94.20%","1.24%","11.10%","162.30%","2.40%","0.70%","2.00%","2.30%","4.10%","-10.93%","33.26%","17.42 - 26.07","6.71M","0.33","41.50","2.12%","1.93","612.63M","616.20M","22.80","1,605,027","0.38","1.31","-1.11%","-3.77%","-2.25%","5.43%","-0.04%","13.65%","24.27%","23.48","23.22","1.35% 1.53%"
"432","SYY","4.86","1.00","1.56","1.97%","69000","1.69B","S&P 500","40.77B","Yes","2.50","60.11B","Yes","1.30","3.26","19.15","3.25","16.30","79.39","24.54","43.21","0.68","2.33","0.80","0.92%","Nov 11 BMO","3.23","10.55%","0.96","15.40%","21.40%","25.50%","5.30%","1.00%","4.13%","19.00%","0.10%","-45.45%","82.20%","0.21%","3.90%","46.30%","2.80%","9.20%","69.30%","18.90%","12.49%","-0.48%","33.51%","59.44 - 79.74","2.96M","0.38","66.50","1.91%","3.30","510.85M","514.65M","75.42","827,142","0.91","0.48","0.19%","11.58%","0.44%","11.78%","1.25%","12.93%","26.41%","79.21","79.36","0.93% 1.07%"
"433","T","25.16","1.15","2.04","5.40%","258000","16.67B","S&P 500","276.88B","Yes","2.30","183.52B","Yes","0.70","0.93","10.45","0.86","1.50","32.87","16.62","18.81","1.51","4.88","0.70","1.98%","Oct 28 BMO","2.28","3.40%","0.93","-4.30%","-37.30%","84.50%","5.80%","15.30%","4.87%","53.50%","0.07%","-0.08%","55.70%","0.48%","15.30%","84.90%","9.50%","3.20%","9.40%","5.90%","16.61%","-1.28%","42.74%","26.80 - 38.75","32.11M","0.79","63.47","1.40%","3.17","7.30B","7.32B","36.52","18,437,211","0.51","0.61","1.18%","18.05%","2.86%","15.31%","1.04%","16.73%","32.48%","37.81","38.26","1.02% 1.17%"
"434","TAP","64.17","2.27","2.28","4.00%","17750","895.10M","S&P 500","12.30B","Yes","2.80","10.60B","Yes","0.60","0.69","12.73","0.61","0.89","25.09","13.80","13.73","1.16","-","0.50","0.99%","Oct 30 BMO","4.13","-1.85%","1.49","10.90%","-22.50%","11.80%","20.70%","-4.40%","4.78%","38.90%","0.50%","-1.20%","87.40%","0.33%","12.30%","39.60%","8.40%","3.00%","6.50%","5.90%","-1.57%","-15.65%","14.26%","49.92 - 67.62","1.65M","0.81","59.99","7.01%","7.48","176.09M","215.74M","58.89","979,642","1.04","0.79","0.07%","-7.17%","3.56%","4.41%","2.30%","-5.36%","1.50%","57.00","57.04","1.65% 1.72%"
"435","TDG","-23.48","52.28","-","-","10100","749.60M","S&P 500","27.36B","Yes","2.30","4.90B","Yes","3.90","-","24.34","-","-","10.07","39.38","28.16","5.59","2.48","2.90","0.92%","Nov 05 BMO","13.37","15.85%","5.24","41.70%","-34.30%","61.50%","14.60%","69.10%","0.31%","55.40%","0.40%","-68.63%","23.38%","-7.55%","36.60%","0.00%","15.30%","5.00%","-47.50%","13.40%","16.85%","-3.54%","80.16%","290.25 - 542.10","330.36K","0.65","51.77","4.93%","7.68","51.49M","51.97M","578.62","157,594","9.99","0.96","-0.69%","18.82%","-0.72%","15.30%","3.04%","61.76%","63.97%","526.55","522.91","1.58% 1.90%"
"436","TEL","31.52","1.62","1.84","1.98%","80000","3.25B","S&P 500","31.34B","Yes","2.40","13.15B","Yes","1.50","0.38","16.22","0.32","2.95","57.40","9.89","30.08","2.38","0.95","0.90","2.51%","Oct 30 BMO","9.40","10.40%","1.31","26.80%","73.40%","107.50%","4.20%","-10.00%","1.79%","33.80%","0.10%","-63.62%","93.90%","0.13%","16.00%","19.50%","23.80%","15.90%","30.10%","21.90%","5.79%","-5.07%","33.20%","69.84 - 97.99","1.46M","0.47","56.97","1.15%","2.65","335.26M","337.00M","99.08","506,660","1.72","1.17","0.03%","3.99%","-1.83%","4.84%","5.60%","16.16%","22.97%","93.00","93.03","1.61% 1.82%"
"437","TFX","57.72","6.58","1.36","0.41%","15200","269.30M","S&P 500","15.15B","Yes","1.70","2.52B","Yes","2.50","0.80","25.66","0.78","5.68","49.84","57.15","59.44","6.02","4.33","1.60","-1.17%","Oct 31 BMO","5.74","13.20%","2.75","3.90%","-","-25.60%","7.60%","7.00%","-5.47%","56.60%","0.20%","-54.03%","93.60%","0.40%","15.30%","23.10%","10.80%","4.30%","10.60%","6.40%","5.00%","-12.51%","44.72%","226.02 - 373.90","256.52K","0.36","43.26","1.40%","2.51","46.13M","46.17M","400.45","67,303","7.72","0.98","-0.28%","18.40%","-3.75%","-2.09%","3.45%","31.38%","26.91%","328.04","327.11","1.88% 2.24%"
"438","TGT","23.11","3.23","2.64","2.33%","360000","3.11B","S&P 500","57.99B","Yes","2.10","76.85B","Yes","0.80","0.97","17.18","0.88","4.90","35.02","19.01","34.54","0.75","2.07","0.20","4.21%","Nov 20 BMO","5.96","9.19%","1.17","5.30%","22.00%","16.40%","1.10%","3.60%","9.43%","29.30%","0.10%","-37.15%","85.30%","0.14%","5.70%","42.00%","4.10%","7.50%","27.80%","14.70%","33.28%","-0.40%","88.28%","60.15 - 113.71","5.44M","0.48","68.57","2.80%","2.62","509.75M","512.10M","111.71","1,902,387","1.87","0.53","0.02%","36.00%","5.85%","28.66%","2.41%","31.95%","71.33%","113.23","113.25","1.14% 1.78%"
"439","TIF","26.26","5.62","2.32","2.53%","14200","548.20M","S&P 500","11.09B","Yes","2.30","4.38B","Yes","4.20","0.32","17.69","0.28","3.49","16.29","20.38","523.13","2.53","2.39","1.40","-1.39%","Aug 28 BMO","4.49","8.53%","0.86","26.80%","-3.80%","11.90%","2.00%","-2.50%","0.34%","62.70%","0.30%","-42.14%","96.10%","0.85%","16.90%","48.30%","12.80%","9.70%","18.00%","15.00%","-4.85%","-24.48%","21.93%","73.04 - 117.93","1.90M","0.54","47.93","13.36%","8.41","119.74M","121.10M","104.13","757,952","2.36","1.61","-2.75%","-14.51%","-1.97%","-1.18%","4.03%","-20.13%","13.75%","91.58","89.06","1.91% 2.33%"
"440","TJX","4.38","-","0.92","1.52%","270000","3.06B","S&P 500","73.22B","Yes","1.90","40.01B","Yes","1.30","0.42","21.37","0.42","13.81","-","24.52","56.39","1.83","2.88","0.50","7.75%","Nov 19 BMO","2.47","8.51%","0.66","10.60%","5.70%","24.60%","7.30%","4.80%","10.02%","32.20%","0.10%","-3.76%","93.40%","0.14%","10.80%","32.50%","7.70%","16.40%","59.10%","41.80%","14.68%","0.12%","46.10%","41.49 - 60.54","5.90M","0.71","73.04","1.04%","2.13","1.21B","1.21B","59.95","3,057,913","1.06","0.66","0.21%","9.74%","7.50%","10.71%","5.33%","7.78%","35.20%","60.49","60.62","1.60% 1.84%"
"441","TMO","71.82","5.74","0.76","0.27%","70000","3.57B","S&P 500","112.64B","Yes","1.70","24.87B","Yes","1.50","0.66","20.72","0.58","3.92","49.10","31.92","29.60","4.53","2.81","1.10","-0.94%","Oct 23 BMO","8.82","11.37%","2.87","16.60%","49.90%","23.10%","13.20%","3.90%","-0.65%","44.50%","0.20%","-11.85%","92.00%","0.24%","18.00%","7.90%","14.20%","6.30%","12.80%","7.70%","3.89%","-7.63%","35.42%","208.34 - 305.45","1.54M","0.57","48.20","0.85%","2.20","399.82M","400.00M","308.73","639,239","6.43","1.15","0.20%","8.40%","-4.53%","-2.84%","0.33%","19.75%","25.83%","281.59","282.14","1.39% 2.20%"
"442","TMUS","31.56","1.31","-","-","52000","3.28B","S&P 500","68.18B","Yes","1.90","44.34B","Yes","0.60","1.10","16.81","1.06","2.57","61.70","21.18","-","1.54","1.12","0.50","3.50%","Oct 29 AMC","3.83","18.90%","0.96","130.50%","18.90%","28.40%","12.10%","3.90%","3.92%","58.30%","0.10%","-1.10%","35.50%","0.48%","12.60%","0.00%","7.40%","4.20%","12.80%","7.80%","9.33%","-4.31%","36.00%","59.96 - 85.22","3.18M","0.67","62.69","4.48%","4.40","312.75M","841.24M","88.44","1,567,354","1.32","0.42","0.61%","9.90%","1.16%","4.68%","3.51%","17.57%","27.42%","81.05","81.54","1.56% 1.67%"
"443","TPR","12.15","4.27","1.35","5.31%","21000","611.50M","S&P 500","7.35B","Yes","2.40","6.03B","Yes","2.80","0.46","9.23","0.46","2.09","5.96","12.11","58.00","1.22","2.80","1.90","1.00%","Nov 05 BMO","2.10","4.33%","0.37","-5.50%","-55.90%","7.40%","4.60%","2.00%","6.29%","67.30%","0.40%","-","92.80%","1.12%","13.50%","60.70%","10.70%","9.30%","18.60%","12.90%","-15.86%","-42.13%","38.06%","18.54 - 44.22","5.80M","0.65","57.50","5.25%","2.60","287.01M","289.10M","28.81","2,769,746","0.82","1.05","0.59%","-21.84%","1.03%","-16.04%","1.80%","-42.79%","-24.62%","25.44","25.59","2.96% 2.62%"
"444","TRIP","11.33","7.17","-","-","3657","137.00M","S&P 500","5.25B","Yes","2.90","1.60B","Yes","2.00","0.05","17.93","0.05","3.44","5.43","40.01","15.43","3.27","2.99","2.00","-0.82%","Nov 06 AMC","0.97","13.37%","0.68","-10.70%","-8.90%","108.70%","11.30%","-2.50%","-2.13%","94.40%","0.20%","-4.10%","99.80%","0.38%","13.00%","0.00%","8.60%","5.90%","9.10%","8.00%","-20.12%","-44.87%","7.43%","35.41 - 69.00","1.62M","0.65","46.10","12.59%","8.34","107.56M","134.74M","48.82","769,475","1.15","1.37","-2.29%","-24.73%","-4.98%","-13.24%","2.91%","-18.32%","-27.83%","38.93","38.04","2.78% 2.64%"
"445","TROW","27.89","7.82","3.04","2.76%","7225","1.93B","S&P 500","25.40B","Yes","2.60","5.42B","Yes","-","0.00","13.59","0.00","3.95","14.09","13.88","34.25","4.69","2.29","-","-1.44%","Oct 24 BMO","7.95","6.07%","1.99","13.60%","13.70%","17.90%","9.00%","3.70%","-1.58%","-","1.10%","-5.53%","71.40%","0.26%","43.00%","36.20%","35.50%","22.90%","30.20%","29.00%","4.63%","-9.32%","29.70%","84.59 - 120.99","1.09M","1.09","45.51","2.57%","5.42","229.02M","230.41M","117.29","869,002","2.22","1.06","-0.49%","4.11%","-5.86%","1.64%","1.60%","8.13%","19.42%","110.25","109.71","1.55% 1.91%"
"446","TRV","96.90","1.59","3.28","2.33%","30400","2.66B","DJIA S&P500","36.71B","Yes","3.00","31.03B","Yes","-","0.26","12.24","0.26","1.45","88.24","14.01","10.07","1.18","1.32","-","-1.90%","Oct 22 BMO","10.02","10.63%","2.36","-1.00%","9.30%","19.20%","2.90%","4.80%","-3.18%","-","0.20%","-34.04%","84.00%","0.19%","11.40%","30.50%","8.60%","2.50%","11.20%","9.80%","0.56%","-8.77%","27.38%","111.08 - 155.09","1.21M","0.89","41.89","1.40%","2.99","259.68M","261.30M","149.73","793,777","2.09","0.94","0.72%","1.12%","-4.09%","-6.49%","-0.76%","12.61%","17.31%","140.48","141.49","1.09% 1.31%"
"447","TSCO","12.83","0.86","1.32","1.42%","15000","549.70M","S&P 500","11.18B","Yes","2.20","8.19B","Yes","1.50","0.34","17.65","0.32","7.24","107.52","20.67","30.35","1.37","1.80","0.20","1.64%","Oct 24 BMO","4.50","11.47%","1.04","13.20%","6.90%","29.30%","8.90%","6.40%","-3.97%","34.20%","0.30%","-33.78%","87.40%","0.33%","8.80%","28.20%","6.70%","12.90%","36.10%","27.50%","-5.67%","-18.25%","18.73%","78.67 - 114.25","1.44M","1.00","47.91","3.49%","2.87","118.73M","120.37M","114.19","1,060,506","2.25","1.01","0.54%","-9.88%","-0.69%","-17.40%","-0.24%","4.52%","11.34%","92.90","93.40","1.69% 2.19%"
"448","TSN","38.37","1.13","1.50","1.84%","121000","2.19B","S&P 500","29.15B","Yes","1.80","41.52B","Yes","1.30","0.90","11.84","0.75","2.12","71.80","13.54","37.37","0.70","2.17","0.60","-1.72%","Nov 04 BMO","6.01","6.25%","1.34","18.80%","25.90%","14.20%","3.10%","8.30%","-4.61%","12.60%","0.20%","-28.50%","90.40%","0.34%","7.50%","23.60%","5.30%","6.90%","16.40%","10.30%","9.00%","-12.59%","65.22%","49.77 - 94.07","2.61M","0.51","42.77","1.94%","2.14","286.90M","358.27M","94.67","972,384","1.92","0.46","1.06%","10.72%","-7.82%","0.71%","-0.93%","31.18%","52.38%","81.37","82.23","2.26% 2.12%"
"449","TTWO","18.53","13.63","-","-","4894","303.90M","S&P 500","13.89B","Yes","2.00","2.82B","Yes","1.50","0.00","24.79","0.00","6.62","9.01","46.42","15.42","4.92","4.34","1.40","-0.50%","Nov 07 AMC","2.64","10.70%","1.70","-2.20%","-34.30%","74.00%","2.60%","39.30%","-3.41%","42.10%","0.40%","-11.48%","95.80%","0.41%","6.60%","0.00%","10.90%","7.40%","15.20%","14.90%","12.37%","-9.48%","45.53%","84.41 - 135.70","1.47M","0.48","45.81","2.59%","1.97","111.81M","113.16M","134.96","518,417","3.55","0.74","0.08%","35.27%","-5.41%","5.76%","0.28%","-7.03%","19.23%","122.74","122.84","1.93% 2.58%"
